0,1,2,3,4,5,6,7,8,9,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2876.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1687.0,30666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5834.0,106047.0,35282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6618.0,120307.0,40027.0,15278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11591.0,210705.0,70103.0,26757.0,23198.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,36697.0,12209.0,4660.0,4040.0,10428.0,0.0,0.0,0.0,0.0,0.0
11136.0,202437.0,67352.0,25707.0,22288.0,57524.0,9740.0,0.0,0.0,0.0,0.0
1985.0,36094.0,12009.0,4584.0,3974.0,10256.0,1737.0,17515.0,0.0,0.0,0.0
3873.0,70411.0,23426.0,8942.0,7752.0,20008.0,3388.0,34167.0,3204.0,0.0,0.0
12328.0,224114.0,74564.0,28460.0,24674.0,63683.0,10783.0,108752.0,10197.0,20398.0,0.0
