0,1,2,3,4,5,6,7,8,9,10
0.0,3477.0,1894.0,6426.0,6679.0,12506.0,2032.0,11339.0,1976.0,3980.0,12528.0
0.0,0.0,32932.0,111755.0,116153.0,217495.0,35347.0,197195.0,34368.0,69221.0,217873.0
0.0,0.0,0.0,37925.0,39417.0,73808.0,11995.0,66919.0,11663.0,23490.0,73936.0
0.0,0.0,0.0,0.0,16024.0,30005.0,4876.0,27204.0,4741.0,9550.0,30057.0
0.0,0.0,0.0,0.0,0.0,25012.0,4065.0,22678.0,3952.0,7960.0,25056.0
0.0,0.0,0.0,0.0,0.0,0.0,11012.0,61436.0,10708.0,21566.0,67879.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9437.0,1645.0,3313.0,10426.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16637.0,33508.0,105465.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3007.0,9463.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17982.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
